timestamp,mn_grade_pct,fe_content_pct,siO2_content_pct,al2O3_content_pct,p_content_pct,moisture_pct,p80_mm,work_index_kwh_t,specific_gravity,ore_type
2025-07-04 18:00:00,50.16,3.36,1.1,5.45,0.251,9.6,13.7,22.0,4.23,oxide
2024-07-17 06:00:00,44.13,5.11,1.41,7.74,0.105,9.4,18.8,22.0,3.97,oxide
2021-07-29 18:00:00,66.83,-2.16,-0.26,6.34,0.288,7.8,10.6,22.0,4.66,oxide
2022-11-04 06:00:00,49.55,3.34,0.88,5.63,0.173,6.6,25.7,22.0,4.22,silicate
2024-01-27 12:00:00,64.59,-1.4,-0.34,7.65,0.292,8.6,12.4,22.0,4.52,oxide
2023-09-16 18:00:00,44.13,4.61,1.95,6.82,0.109,6.4,15.5,22.0,4.05,carbonate
2024-06-12 18:00:00,55.68,1.32,0.48,6.23,0.091,7.7,9.0,22.0,4.35,carbonate
2025-07-15 12:00:00,45.24,5.18,1.2,7.66,0.275,7.3,15.0,22.0,4.15,oxide
2021-07-26 06:00:00,77.71,-6.2,-2.32,5.88,0.113,9.9,24.4,22.0,4.71,carbonate
2025-11-28 12:00:00,44.41,5.44,1.48,7.83,0.247,6.8,15.3,22.0,3.93,carbonate
2024-12-30 00:00:00,50.85,3.01,0.4,5.57,0.14,6.7,16.3,22.0,4.2,oxide
2020-05-31 18:00:00,44.13,4.74,0.64,7.23,0.214,7.0,14.6,22.0,4.08,silicate
2022-08-08 00:00:00,44.13,5.39,1.0,7.21,0.191,9.0,13.9,22.0,4.16,oxide
2022-04-06 06:00:00,77.71,-5.63,-1.12,7.61,0.187,7.2,15.8,22.0,4.84,oxide
2025-02-07 12:00:00,51.53,2.85,0.93,5.38,0.137,7.9,13.8,22.0,4.24,carbonate
2026-07-26 06:00:00,77.71,-5.76,-0.79,7.76,0.164,8.4,8.3,22.0,4.64,oxide
2024-02-28 06:00:00,47.39,4.5,0.53,6.14,0.07,9.7,25.5,22.0,4.19,carbonate
2024-01-12 00:00:00,44.13,4.41,1.41,6.33,0.122,7.6,10.6,22.0,4.18,silicate
2023-01-26 06:00:00,44.13,5.2,1.45,6.74,0.082,9.0,8.2,22.0,4.14,oxide
2024-05-07 06:00:00,77.28,-6.16,-1.13,7.66,0.191,5.6,37.2,22.0,4.97,oxide
2020-06-07 06:00:00,54.55,1.57,0.33,5.03,0.181,7.0,20.2,22.0,4.46,oxide
2023-01-14 18:00:00,72.04,-4.31,-1.18,5.9,0.073,6.8,17.2,22.0,4.58,oxide
2025-06-11 12:00:00,77.71,-5.79,-2.16,6.27,0.189,6.9,18.7,22.0,4.98,silicate
2024-01-10 06:00:00,77.71,-4.81,-2.02,6.47,0.149,8.5,16.8,22.0,4.62,oxide
2026-01-25 18:00:00,48.08,4.21,0.44,6.56,0.286,6.9,14.0,22.0,4.02,oxide
2024-11-25 18:00:00,44.13,4.66,2.02,6.36,0.176,5.1,9.0,22.0,3.94,oxide
2021-09-26 12:00:00,44.13,5.49,1.28,6.96,0.298,6.4,17.0,22.0,3.97,carbonate
2024-03-17 06:00:00,66.98,-1.95,-0.68,7.57,0.114,8.9,21.8,22.0,4.48,oxide
