timestamp,feed_rate_tph,crusher_gap_mm,power_draw_kw,product_p80_mm,liner_wear_pct,vibration_rms_mm_s,ore_hardness_wi,feed_moisture_pct
2020-01-01 00:00:00,126.3,20.4,200.0,25.6,96.5,2.29,22.0,5.3
2020-01-01 01:00:00,81.3,14.2,200.0,12.6,98.4,2.19,22.0,5.0
2020-01-01 02:00:00,130.7,24.2,200.0,28.7,100.0,2.43,22.0,8.3
2020-01-01 03:00:00,119.4,23.4,200.0,26.6,100.0,1.39,22.0,8.9
2020-01-01 04:00:00,111.4,20.5,200.0,22.4,100.0,2.42,22.0,5.1
2020-01-01 05:00:00,103.4,14.1,200.0,15.9,96.4,2.53,22.0,8.6
2020-01-01 06:00:00,117.0,16.5,200.0,21.0,99.7,2.32,22.0,7.0
2020-01-01 07:00:00,95.4,24.7,200.0,30.5,100.0,2.11,22.0,5.0
2020-01-01 08:00:00,114.6,16.1,200.0,20.6,99.2,2.63,22.0,5.8
2020-01-01 09:00:00,119.1,24.9,200.0,29.2,95.2,1.91,22.0,9.5
2020-01-01 10:00:00,120.6,22.7,200.0,19.5,100.0,2.37,22.0,9.3
2020-01-01 11:00:00,105.3,18.9,200.0,19.0,100.0,1.98,22.0,5.7
2020-01-01 12:00:00,84.2,23.1,200.0,20.6,95.0,1.73,22.0,6.6
2020-01-01 13:00:00,105.1,24.7,200.0,26.3,100.0,2.02,22.0,9.2
2020-01-01 14:00:00,134.1,15.8,200.0,15.0,94.5,2.8,22.0,7.6
2020-01-01 15:00:00,112.2,13.5,200.0,13.1,91.4,2.27,22.0,6.4
2020-01-01 16:00:00,82.3,13.1,200.0,11.8,95.6,2.16,22.0,9.3
2020-01-01 17:00:00,102.4,19.9,200.0,22.6,100.0,1.65,22.0,6.1
2020-01-01 18:00:00,116.9,16.2,200.0,20.3,100.0,2.2,22.0,7.0
2020-01-01 19:00:00,96.8,17.0,200.0,19.4,100.0,2.42,22.0,5.8
2020-01-01 20:00:00,91.3,14.0,200.0,16.0,96.9,2.28,22.0,8.9
2020-01-01 21:00:00,114.7,13.1,200.0,16.4,92.4,1.9,22.0,5.1
2020-01-01 22:00:00,116.5,16.2,200.0,16.5,100.0,2.41,22.0,5.0
2020-01-01 23:00:00,107.5,14.3,200.0,17.7,98.9,1.94,22.0,7.9
2020-01-02 00:00:00,85.5,12.9,200.0,14.9,97.8,1.94,22.0,7.1
