timestamp,thickener_id,filter_id,thickener_health_score,filter_health_score,source_circuit,feed_grade_pct,feed_solids_pct,flocculant_dosage_gt,retention_time_hr,underflow_solids_pct,overflow_clarity_ntu,thickening_efficiency,filter_pressure_kpa,cycle_time_min,cake_moisture_pct,water_recovery_pct,solid_recovery_pct
2020-01-01 00:00:00,thickener_01,filter_press_02,64.9,94.7,flotation,52.0,19.4,49.2,2.8,57.6,44.0,0.755,212.0,81.0,10.2,59.9,94.31
2020-01-01 04:00:00,thickener_02,filter_press_01,88.8,74.9,flotation,51.27,23.6,40.8,3.6,60.5,36.0,0.796,397.0,54.0,9.4,76.6,73.81
2020-01-01 08:00:00,thickener_01,filter_press_02,55.6,80.0,flotation,50.86,19.9,39.7,2.7,62.7,52.0,0.854,295.0,92.0,9.5,50.3,78.49
2020-01-01 12:00:00,thickener_01,filter_press_02,94.4,50.7,flotation,52.0,15.1,24.8,2.1,68.3,21.0,0.95,354.0,87.0,8.7,89.4,49.91
2020-01-01 16:00:00,thickener_01,vacuum_filter_03,73.4,66.8,flotation,52.0,22.2,66.5,2.1,62.4,31.0,0.841,272.0,93.0,9.0,64.0,66.68
2020-01-01 20:00:00,thickener_02,vacuum_filter_01,85.0,90.0,flotation,52.0,18.5,63.1,2.3,65.3,38.0,0.908,315.0,84.0,8.3,74.6,89.82
2020-01-02 00:00:00,thickener_01,filter_press_01,97.5,61.5,flotation,52.0,19.8,38.6,5.3,67.0,36.0,0.939,227.0,52.0,9.3,83.4,61.18
2020-01-02 04:00:00,thickener_01,filter_press_02,91.3,55.0,flotation,52.0,18.0,30.8,4.4,58.3,18.0,0.775,240.0,79.0,8.4,79.4,54.23
2020-01-02 08:00:00,thickener_02,filter_press_01,63.5,77.0,flotation,52.0,19.8,79.8,4.7,56.4,54.0,0.729,374.0,62.0,8.6,54.1,75.53
2020-01-02 12:00:00,thickener_01,filter_press_01,97.0,82.5,flotation,51.76,22.7,57.4,5.9,57.4,14.0,0.733,257.0,67.0,11.5,84.8,81.72
2020-01-02 16:00:00,thickener_02,vacuum_filter_01,61.6,84.5,flotation,52.0,21.8,74.4,2.6,56.5,14.0,0.72,232.0,78.0,10.2,57.7,83.2
2020-01-02 20:00:00,thickener_01,vacuum_filter_02,56.0,96.4,flotation,51.02,19.7,78.7,4.1,63.9,48.0,0.879,240.0,58.0,11.8,48.4,95.13
2020-01-03 00:00:00,thickener_01,filter_press_02,50.5,68.7,flotation,52.0,17.7,49.3,3.9,59.9,51.0,0.807,236.0,72.0,8.5,45.6,67.28
2020-01-03 04:00:00,thickener_01,filter_press_01,86.7,66.1,flotation,52.0,21.9,40.2,4.5,64.1,44.0,0.878,395.0,82.0,9.7,74.6,65.6
2020-01-03 08:00:00,thickener_01,vacuum_filter_01,90.8,98.4,flotation,52.0,18.7,26.0,4.7,61.6,21.0,0.836,206.0,57.0,11.0,81.8,97.24
2020-01-03 12:00:00,thickener_02,vacuum_filter_03,70.1,52.2,flotation,50.33,19.6,32.6,2.7,53.2,50.0,0.667,355.0,80.0,8.6,64.2,51.9
2020-01-03 16:00:00,thickener_01,vacuum_filter_02,59.0,54.9,flotation,52.0,18.3,57.0,2.4,59.7,40.0,0.801,253.0,69.0,11.0,51.9,53.99
2020-01-03 20:00:00,thickener_02,vacuum_filter_02,96.5,50.7,flotation,52.0,17.5,61.9,3.7,57.2,21.0,0.756,352.0,94.0,10.3,85.9,50.32
2020-01-04 00:00:00,thickener_01,filter_press_01,55.7,70.4,flotation,52.0,24.3,62.1,4.1,59.3,52.0,0.767,222.0,59.0,11.1,50.3,69.06
2020-01-04 04:00:00,thickener_02,filter_press_01,95.9,90.3,flotation,52.0,23.4,42.5,5.4,63.0,49.0,0.85,286.0,66.0,12.0,83.3,89.01
2020-01-04 08:00:00,thickener_01,filter_press_02,96.3,51.4,flotation,52.0,18.8,39.9,3.3,63.6,35.0,0.874,301.0,88.0,8.7,90.0,51.31
2020-01-04 12:00:00,thickener_02,vacuum_filter_03,55.9,97.0,flotation,52.0,21.0,34.7,5.1,59.2,57.0,0.779,223.0,66.0,10.2,50.6,96.57
2020-01-04 16:00:00,thickener_02,filter_press_01,73.0,57.4,flotation,52.0,16.8,62.2,2.9,53.6,20.0,0.691,210.0,68.0,11.8,66.6,56.95
2020-01-04 20:00:00,thickener_01,vacuum_filter_01,53.7,62.9,flotation,52.0,18.2,38.3,5.9,58.3,58.0,0.773,233.0,63.0,8.9,48.0,62.6
2020-01-05 00:00:00,thickener_02,vacuum_filter_01,91.7,56.5,flotation,52.0,19.6,73.9,3.8,66.3,14.0,0.927,248.0,89.0,9.6,78.0,55.69
2020-01-05 04:00:00,thickener_01,filter_press_02,50.2,82.3,flotation,52.0,23.0,72.3,5.0,60.9,38.0,0.806,341.0,86.0,9.9,46.0,81.93
2020-01-05 08:00:00,thickener_01,vacuum_filter_02,58.5,90.7,flotation,52.0,19.8,34.8,3.0,65.0,50.0,0.901,352.0,74.0,9.1,51.6,90.27
