timestamp,dms_cyclone_id,cyclone_health_score,cyclone_wear_rate_pct,feed_grade_pct,feed_size_mm,media_density_sg,cyclone_pressure_kpa,media_consumption_kg_t,media_recovery_pct,sink_grade_pct,float_grade_pct,sink_yield_pct,dms_recovery,separation_efficiency,ore_density_sg
2020-01-01 00:00:00,dms_cyclone_01,52.4,37.1,44.15,12.1,3.15,114.0,2.07,98.11,50.0,7.065,65.3,0.74,0.6,4.18
2020-01-01 04:00:00,dms_cyclone_01,82.2,1.9,46.65,17.9,2.89,117.0,1.01,98.91,50.0,6.51,67.3,0.722,0.651,4.02
2020-01-01 08:00:00,dms_cyclone_01,78.2,16.2,46.86,8.2,2.83,96.0,2.01,98.58,50.0,7.068,67.5,0.72,0.623,3.95
2020-01-01 12:00:00,dms_cyclone_01,64.6,32.4,37.21,20.2,2.85,111.0,0.89,98.4,50.0,5.953,59.8,0.803,0.6,4.01
2020-01-01 16:00:00,dms_cyclone_03,85.9,6.8,44.29,19.2,2.86,108.0,1.3,99.34,50.0,6.808,65.4,0.739,0.616,3.95
2020-01-01 20:00:00,dms_cyclone_01,68.5,25.4,39.48,17.3,3.08,90.0,0.74,98.73,50.0,6.317,61.6,0.78,0.6,3.86
2020-01-02 00:00:00,dms_cyclone_02,60.0,17.3,42.48,11.3,3.1,95.0,0.83,99.17,50.0,6.339,64.0,0.753,0.627,4.1
2020-01-02 04:00:00,dms_cyclone_01,55.9,51.7,40.88,14.2,2.87,113.0,0.94,98.92,50.0,6.541,62.7,0.767,0.6,4.16
2020-01-02 08:00:00,dms_cyclone_03,71.5,47.9,45.12,9.7,3.09,85.0,1.16,98.83,50.0,7.22,66.1,0.732,0.6,4.18
2020-01-02 12:00:00,dms_cyclone_02,60.2,39.7,45.83,10.9,3.0,81.0,2.23,99.18,50.0,7.333,66.7,0.727,0.6,4.2
2020-01-02 16:00:00,dms_cyclone_02,90.8,2.5,45.43,23.9,2.93,117.0,0.66,98.37,50.0,4.758,66.3,0.73,0.738,4.13
2020-01-02 20:00:00,dms_cyclone_01,75.1,20.0,42.33,9.5,3.02,93.0,0.6,98.23,50.0,6.773,63.9,0.754,0.6,4.16
2020-01-03 00:00:00,dms_cyclone_03,52.5,62.7,49.02,21.9,2.89,89.0,1.29,99.45,50.0,7.843,69.2,0.706,0.6,4.06
2020-01-03 04:00:00,dms_cyclone_02,76.2,21.9,49.76,11.9,3.19,111.0,0.64,99.21,50.0,7.603,69.8,0.701,0.618,3.9
2020-01-03 08:00:00,dms_cyclone_01,88.9,10.3,49.75,15.1,2.87,93.0,0.97,99.35,50.0,6.48,69.8,0.701,0.674,3.87
2020-01-03 12:00:00,dms_cyclone_03,71.3,32.1,47.49,20.8,2.98,116.0,1.44,98.66,50.0,5.733,68.0,0.716,0.698,3.85
2020-01-03 16:00:00,dms_cyclone_01,85.1,29.5,37.09,9.3,3.12,84.0,1.44,99.15,50.0,4.31,59.7,0.804,0.71,4.15
2020-01-03 20:00:00,dms_cyclone_03,50.0,48.3,43.9,10.0,3.09,89.0,2.1,99.24,50.0,6.212,65.1,0.742,0.646,4.13
2020-01-04 00:00:00,dms_cyclone_01,77.0,20.0,45.02,13.8,2.97,86.0,0.97,98.31,50.0,4.48,66.0,0.733,0.751,3.99
2020-01-04 04:00:00,dms_cyclone_02,84.3,4.5,41.75,22.7,2.82,115.0,1.24,99.36,50.0,2.949,63.4,0.759,0.823,3.88
2020-01-04 08:00:00,dms_cyclone_02,72.0,24.1,38.43,21.0,2.84,117.0,1.19,98.75,50.0,4.689,60.7,0.79,0.695,3.93
2020-01-04 12:00:00,dms_cyclone_01,81.0,30.1,47.88,10.2,3.17,97.0,0.76,98.98,50.0,7.661,68.3,0.713,0.6,4.05
2020-01-04 16:00:00,dms_cyclone_02,64.2,32.1,37.2,13.5,3.04,86.0,1.77,98.32,50.0,5.338,59.8,0.803,0.641,4.04
2020-01-04 20:00:00,dms_cyclone_01,94.2,9.4,36.78,24.2,3.08,114.0,2.02,98.89,50.0,2.219,59.4,0.808,0.849,4.01
2020-01-05 00:00:00,dms_cyclone_01,90.6,0.0,45.34,17.3,3.16,92.0,0.66,99.18,50.0,7.254,66.3,0.731,0.6,3.95
2020-01-05 04:00:00,dms_cyclone_03,85.8,11.8,43.46,14.2,3.15,120.0,1.5,98.63,50.0,5.087,64.8,0.745,0.707,3.93
2020-01-05 08:00:00,dms_cyclone_01,81.3,16.3,40.2,8.5,2.95,100.0,1.33,98.25,50.0,6.432,62.2,0.773,0.6,4.02
