timestamp,equipment_id,equipment_type,operating_hours,health_score,vibration_rms,temperature_c,power_factor,wear_rate_pct,failure_probability,rul_days,maintenance_priority
2021-06-21 22:00:00,tertiary_crusher_01,tertiary_crusher,40173.0,51.6,8.88,72.7,0.753,38.7,0.85,990.0,1
2020-12-06 01:00:00,thickener_02,thickener,16022.0,86.2,1.49,43.2,0.898,4.1,0.2625,1520.0,3
2021-05-20 03:00:00,primary_crusher_02,primary_crusher,19765.0,75.7,5.86,72.7,0.801,19.4,0.4679,1187.0,2
2021-02-07 14:00:00,conveyor_belt_13,conveyor_belt,53178.0,60.8,5.62,66.3,0.777,33.3,0.7357,1068.0,1
2021-02-17 06:00:00,flotation_cell_rougher_05,flotation_cell_rougher,54727.0,47.7,4.02,47.4,0.838,20.9,0.85,800.0,1
2021-01-04 19:00:00,slurry_pump_10,slurry_pump,35327.0,66.4,5.2,91.0,0.85,20.2,0.6154,1157.0,1
2021-02-20 19:00:00,flotation_cell_scavenger_03,flotation_cell_scavenger,37082.0,66.9,3.46,39.2,0.857,13.2,0.5884,1121.0,1
2020-10-18 01:00:00,reagent_dosing_pump_05,reagent_dosing_pump,29581.0,52.9,5.58,82.6,0.829,28.2,0.8215,742.0,1
2021-07-17 11:00:00,tertiary_crusher_02,tertiary_crusher,26803.0,42.3,9.52,85.3,0.735,46.2,0.85,594.0,1
2021-08-13 09:00:00,vibrating_feeder_01,vibrating_feeder,13709.0,100.0,1.54,57.2,0.88,0.0,0.0,2071.0,5
2021-08-10 21:00:00,apron_feeder_04,apron_feeder,49341.0,73.5,3.6,55.5,0.851,14.6,0.4935,1202.0,2
2020-05-11 04:00:00,hydrocyclone_04,hydrocyclone,44673.0,75.1,2.77,43.5,0.845,16.2,0.4717,1350.0,2
2021-07-25 21:00:00,reagent_dosing_pump_03,reagent_dosing_pump,16216.0,88.7,3.36,77.0,0.883,6.8,0.2203,1347.0,3
2020-01-04 13:00:00,magnetic_separator_lims_01,magnetic_separator_lims,50009.0,73.8,3.33,63.8,0.849,13.1,0.4849,1427.0,2
2021-10-11 10:00:00,agitator_04,agitator,10375.0,87.7,1.98,53.1,0.866,6.8,0.2395,1433.0,3
2020-06-04 06:00:00,reagent_dosing_pump_01,reagent_dosing_pump,40650.0,41.6,6.67,93.4,0.812,35.0,0.85,687.0,1
2021-01-17 21:00:00,thickener_01,thickener,63268.0,58.3,2.36,44.6,0.872,12.5,0.7012,1052.0,1
2021-06-25 18:00:00,transfer_pump_07,transfer_pump,25889.0,66.3,4.5,83.8,0.85,20.2,0.6165,975.0,1
2021-10-07 09:00:00,flotation_cell_cleaner_04,flotation_cell_cleaner,31386.0,94.5,1.62,38.0,0.885,2.2,0.1077,1720.0,4
2021-02-28 01:00:00,transfer_pump_07,transfer_pump,33737.0,67.2,4.73,89.3,0.851,19.7,0.6027,951.0,1
2021-03-05 09:00:00,conveyor_belt_05,conveyor_belt,56286.0,62.0,5.44,55.0,0.779,32.3,0.7142,955.0,1
2020-12-06 00:00:00,dewatering_screen_01,dewatering_screen,57624.0,43.3,12.74,59.2,0.768,51.0,0.85,559.0,1
2020-04-14 01:00:00,apron_feeder_01,apron_feeder,29439.0,76.4,2.84,60.9,0.854,13.0,0.444,1264.0,2
2021-10-01 06:00:00,spiral_concentrator_01,spiral_concentrator,63258.0,62.7,3.11,40.3,0.83,26.1,0.6856,919.0,1
2020-02-18 05:00:00,primary_crusher_02,primary_crusher,32016.0,60.5,7.21,78.2,0.771,31.6,0.7349,849.0,1
2021-08-20 03:00:00,trommel_screen_02,trommel_screen,45153.0,68.4,8.44,54.2,0.813,28.4,0.6074,946.0,1
2021-03-25 18:00:00,vibrating_screen_03,vibrating_screen,7640.0,89.3,5.79,51.7,0.851,9.6,0.2118,1432.0,3
2020-08-24 09:00:00,agitator_04,agitator,32335.0,74.3,3.48,58.5,0.852,14.2,0.4801,1246.0,2
2020-10-30 07:00:00,air_blower_04,air_blower,60597.0,62.5,4.18,62.6,0.839,20.6,0.6718,1122.0,1
2021-09-15 13:00:00,spiral_concentrator_04,spiral_concentrator,19180.0,81.9,1.99,37.0,0.846,12.6,0.3494,1358.0,2
2020-05-04 20:00:00,magnetic_separator_lims_01,magnetic_separator_lims,3971.0,100.0,1.8,57.7,0.88,0.0,0.0,1997.0,5
2020-07-16 09:00:00,apron_feeder_03,apron_feeder,43941.0,63.1,3.47,57.7,0.839,20.3,0.663,1194.0,1
2020-09-29 23:00:00,flotation_cell_rougher_04,flotation_cell_rougher,64827.0,49.5,4.22,43.5,0.84,20.2,0.8309,821.0,1
