timestamp,flotation_cell_id,air_blower_id,agitator_id,reagent_pump_id,cell_health_score,blower_health_score,feed_grade_pct,collector_dosage_gt,frother_dosage_gt,actual_collector_consumed_gt,actual_frother_consumed_gt,ph_value,pulp_density_pct_solids,air_flow_m3_min,residence_time_min,flotation_recovery,concentrate_grade_pct,tailings_grade_pct,froth_stability_index,froth_grade_pct,ore_type
2020-01-01 00:00:00,flotation_cell_rougher_04,air_blower_04,agitator_01,reagent_dosing_pump_04,64.1,71.5,46.35,169.3,30.7,181.0,32.3,10.48,31.1,8.4,15.0,0.45,52.0,7.648,0.95,51.74,oxide
2020-01-01 03:00:00,flotation_cell_rougher_05,air_blower_03,agitator_04,reagent_dosing_pump_03,78.4,88.7,42.36,111.9,17.8,120.7,18.8,9.83,32.2,9.3,8.9,0.45,50.41,6.989,0.73,49.03,oxide
2020-01-01 06:00:00,flotation_cell_rougher_04,air_blower_01,agitator_03,reagent_dosing_pump_06,90.8,87.1,43.98,129.6,22.2,133.9,22.7,8.51,33.2,12.4,9.3,0.45,52.0,7.257,0.91,51.53,oxide
2020-01-01 09:00:00,flotation_cell_rougher_01,air_blower_02,agitator_04,reagent_dosing_pump_05,76.0,96.4,45.47,141.3,26.8,148.1,27.8,9.1,31.4,10.9,10.7,0.45,52.0,7.502,0.88,51.36,oxide
2020-01-01 12:00:00,flotation_cell_rougher_03,air_blower_01,agitator_02,reagent_dosing_pump_01,53.0,81.1,46.43,184.8,30.9,200.6,32.9,8.97,30.0,14.2,15.1,0.506,52.0,6.885,0.95,51.74,oxide
2020-01-01 15:00:00,flotation_cell_rougher_03,air_blower_02,agitator_05,reagent_dosing_pump_05,64.8,61.3,45.49,156.5,34.1,168.2,36.0,9.53,29.7,14.8,8.4,0.515,52.0,6.618,0.95,51.74,carbonate
2020-01-01 18:00:00,flotation_cell_rougher_01,air_blower_03,agitator_04,reagent_dosing_pump_06,75.1,86.3,44.55,182.8,34.2,184.6,34.5,8.94,30.0,13.2,11.9,0.631,52.0,4.925,0.78,50.84,carbonate
2020-01-01 21:00:00,flotation_cell_rougher_01,air_blower_04,agitator_03,reagent_dosing_pump_02,86.8,99.1,45.88,108.1,26.8,108.1,26.8,9.22,31.1,12.5,14.7,0.457,52.0,7.471,0.94,51.67,oxide
2020-01-02 00:00:00,flotation_cell_rougher_05,air_blower_04,agitator_01,reagent_dosing_pump_04,88.7,94.3,43.37,142.7,33.5,143.6,33.7,9.32,30.0,11.3,10.7,0.576,52.0,5.521,0.95,51.74,oxide
2020-01-02 03:00:00,flotation_cell_rougher_04,air_blower_04,agitator_03,reagent_dosing_pump_04,87.6,50.1,43.88,162.1,15.2,162.1,15.2,9.68,32.9,9.5,15.4,0.549,52.0,5.943,0.61,49.98,oxide
2020-01-02 06:00:00,flotation_cell_rougher_01,air_blower_04,agitator_01,reagent_dosing_pump_05,54.7,71.6,44.14,107.1,33.3,116.7,35.5,8.91,26.5,14.3,12.4,0.45,52.0,7.283,0.95,51.74,oxide
2020-01-02 09:00:00,flotation_cell_rougher_01,air_blower_04,agitator_04,reagent_dosing_pump_02,80.8,60.4,46.89,100.2,20.0,104.1,20.6,9.76,26.6,9.3,11.1,0.45,52.0,7.736,0.86,51.26,oxide
2020-01-02 12:00:00,flotation_cell_rougher_04,air_blower_01,agitator_05,reagent_dosing_pump_06,71.3,74.7,42.81,158.6,19.6,173.4,21.0,9.27,30.7,14.3,14.7,0.473,51.14,6.772,0.72,49.72,oxide
2020-01-02 15:00:00,flotation_cell_rougher_01,air_blower_01,agitator_03,reagent_dosing_pump_05,65.7,69.6,45.09,100.4,34.2,108.0,36.1,8.78,33.1,14.2,14.7,0.45,52.0,7.439,0.85,51.22,carbonate
2020-01-02 18:00:00,flotation_cell_rougher_06,air_blower_04,agitator_05,reagent_dosing_pump_03,91.4,78.1,44.74,158.6,33.5,161.7,34.0,8.98,34.2,8.8,8.6,0.664,52.0,4.509,0.95,51.74,carbonate
2020-01-02 21:00:00,flotation_cell_rougher_05,air_blower_02,agitator_04,reagent_dosing_pump_04,67.9,91.3,42.35,109.9,28.4,117.2,29.8,9.49,33.1,11.4,14.4,0.498,50.81,6.38,0.58,48.66,oxide
2020-01-03 00:00:00,flotation_cell_rougher_05,air_blower_03,agitator_05,reagent_dosing_pump_04,59.1,82.1,42.48,132.1,28.6,143.5,30.5,10.13,33.2,12.0,11.0,0.456,50.6,6.936,0.95,50.35,oxide
2020-01-03 03:00:00,flotation_cell_rougher_04,air_blower_02,agitator_05,reagent_dosing_pump_03,84.8,67.9,47.04,146.8,15.5,150.1,15.8,10.42,27.8,11.2,11.4,0.45,52.0,7.762,0.66,50.24,oxide
