timestamp,jig_id,jig_health_score,jig_wear_rate_pct,feed_grade_pct,stroke_length_mm,stroke_frequency_spm,water_flow_m3h_m2,bed_height_mm,hutch_water_m3h,concentrate_grade_pct,tailings_grade_pct,jig_recovery,separation_efficiency,feed_size_mm,ore_type
2020-01-01 00:00:00,jig_01,85.9,21.9,43.8,16.8,235.0,2.1,275.0,1.41,48.0,8.114,0.466,0.471,10.2,oxide
2020-01-01 02:30:00,jig_02,97.7,7.8,38.09,21.1,184.0,3.72,261.0,1.3,48.0,5.478,0.558,0.589,8.0,carbonate
2020-01-01 05:00:00,jig_04,68.3,16.1,35.1,15.4,247.0,2.83,273.0,1.62,44.32,6.757,0.4,0.45,16.8,oxide
2020-01-01 07:30:00,jig_03,97.2,0.0,41.33,24.4,195.0,2.17,236.0,1.17,48.0,7.956,0.423,0.45,15.5,carbonate
2020-01-01 10:00:00,jig_01,68.9,35.1,41.63,15.1,238.0,2.04,223.0,2.4,48.0,6.696,0.459,0.54,16.8,oxide
2020-01-01 12:30:00,jig_04,85.0,19.0,47.56,19.7,175.0,3.76,254.0,2.27,48.0,8.759,0.408,0.474,10.2,oxide
2020-01-01 15:00:00,jig_04,67.4,42.8,43.17,18.6,193.0,3.15,233.0,2.32,48.0,7.411,0.4,0.51,11.5,oxide
2020-01-01 17:30:00,jig_04,58.6,27.2,41.45,18.9,169.0,3.45,248.0,2.26,48.0,7.373,0.4,0.492,15.8,carbonate
2020-01-01 20:00:00,jig_01,84.4,0.0,36.03,16.3,242.0,3.06,210.0,1.41,46.72,5.2,0.477,0.588,8.8,carbonate
2020-01-01 22:30:00,jig_04,86.3,18.4,49.64,23.0,230.0,3.16,186.0,1.94,48.0,5.144,0.588,0.704,20.8,oxide
2020-01-02 01:00:00,jig_02,74.6,29.5,46.06,24.1,207.0,3.76,172.0,1.74,48.0,6.892,0.406,0.573,21.5,carbonate
2020-01-02 03:30:00,jig_01,65.2,18.0,37.41,21.7,173.0,2.83,260.0,1.55,48.0,5.519,0.442,0.578,11.0,oxide
2020-01-02 06:00:00,jig_01,93.9,21.7,48.01,18.3,226.0,2.03,281.0,1.68,48.0,2.834,0.759,0.831,24.1,carbonate
2020-01-02 08:30:00,jig_03,57.7,39.4,45.94,16.7,213.0,2.8,173.0,1.29,48.0,8.844,0.4,0.45,8.5,silicate
2020-01-02 11:00:00,jig_02,57.8,19.9,44.51,21.0,178.0,2.35,206.0,1.5,48.0,4.616,0.592,0.704,20.9,oxide
2020-01-02 13:30:00,jig_01,78.0,12.2,44.37,19.3,173.0,2.54,294.0,1.29,48.0,6.933,0.4,0.554,19.5,oxide
2020-01-02 16:00:00,jig_02,72.8,18.2,35.27,24.3,202.0,2.76,168.0,1.6,44.53,6.79,0.4,0.45,8.4,silicate
2020-01-02 18:30:00,jig_02,57.1,45.3,42.85,17.7,173.0,3.76,169.0,2.35,48.0,8.249,0.4,0.45,10.2,oxide
2020-01-02 21:00:00,jig_02,96.8,0.0,46.47,20.3,223.0,2.04,217.0,1.36,48.0,5.906,0.509,0.637,8.9,carbonate
2020-01-02 23:30:00,jig_03,88.1,3.7,43.29,21.5,163.0,2.83,186.0,2.47,48.0,8.333,0.4,0.45,12.7,oxide
2020-01-03 02:00:00,jig_03,52.3,50.9,44.35,15.0,224.0,2.47,300.0,1.67,48.0,8.537,0.4,0.45,9.8,oxide
2020-01-03 04:30:00,jig_04,74.7,18.5,45.28,15.3,214.0,3.94,280.0,1.34,48.0,6.123,0.572,0.614,21.6,carbonate
2020-01-03 07:00:00,jig_02,62.7,40.3,48.58,19.5,198.0,2.63,233.0,2.01,48.0,9.287,0.4,0.454,11.6,oxide
2020-01-03 09:30:00,jig_02,63.8,51.8,47.86,24.5,175.0,2.93,285.0,1.01,48.0,7.394,0.532,0.559,11.0,carbonate
