timestamp,feed_grade_pct,spiral_speed_rpm,wash_water_m3h,feed_density_pct_solids,spiral_concentrate_grade_pct,spiral_tailings_grade_pct,spiral_recovery,magnetic_intensity_t,belt_speed_ms,final_concentrate_grade_pct,overall_recovery,ore_type
2020-01-01 00:00:00,23.59,184.0,1.33,23.2,48.0,2.49,0.9,1.09,0.81,48.0,0.707,carbonate
2020-01-01 02:00:00,47.67,202.0,1.01,20.2,48.0,3.84,0.684,1.26,1.04,48.0,0.508,oxide
2020-01-01 04:00:00,26.76,181.0,0.94,18.8,48.0,2.74,0.9,1.38,0.87,48.0,0.691,oxide
2020-01-01 06:00:00,29.93,216.0,1.47,18.4,48.0,3.15,0.9,1.48,0.88,48.0,0.71,oxide
2020-01-01 08:00:00,50.02,182.0,0.92,21.8,48.0,2.07,0.731,0.93,1.09,48.0,0.494,oxide
2020-01-01 10:00:00,52.0,185.0,0.98,20.1,48.0,1.99,0.71,1.4,1.02,48.0,0.548,oxide
2020-01-01 12:00:00,52.0,210.0,1.02,23.2,48.0,1.34,0.734,1.16,0.86,48.0,0.53,oxide
2020-01-01 14:00:00,27.13,216.0,1.08,20.2,48.0,2.59,0.9,0.81,0.81,48.0,0.585,oxide
2020-01-01 16:00:00,34.42,203.0,1.29,24.7,48.0,2.6,0.9,1.27,0.95,48.0,0.67,oxide
2020-01-01 18:00:00,24.97,201.0,0.99,15.7,48.0,1.66,0.9,1.1,0.99,48.0,0.639,oxide
2020-01-01 20:00:00,22.29,209.0,1.44,19.1,48.0,1.87,0.9,1.21,0.82,48.0,0.732,carbonate
2020-01-01 22:00:00,45.27,215.0,1.48,21.8,48.0,2.78,0.763,1.2,0.96,48.0,0.62,carbonate
2020-01-02 00:00:00,27.19,214.0,0.87,23.9,48.0,1.83,0.9,1.07,1.15,48.0,0.703,carbonate
2020-01-02 02:00:00,41.82,213.0,1.16,17.2,48.0,2.16,0.849,1.27,1.15,48.0,0.702,carbonate
2020-01-02 04:00:00,30.23,209.0,1.03,15.5,48.0,2.07,0.9,1.46,1.19,48.0,0.784,silicate
2020-01-02 06:00:00,20.73,185.0,1.03,20.6,48.0,1.86,0.9,1.3,0.96,48.0,0.677,oxide
2020-01-02 08:00:00,52.0,206.0,1.18,18.6,48.0,1.99,0.71,0.8,0.94,48.0,0.461,oxide
2020-01-02 10:00:00,49.86,199.0,1.21,22.2,48.0,3.81,0.662,1.02,0.85,48.0,0.459,oxide
2020-01-02 12:00:00,52.0,183.0,0.9,16.1,48.0,1.61,0.724,0.91,0.87,48.0,0.485,oxide
2020-01-02 14:00:00,52.0,187.0,1.24,18.5,48.0,1.7,0.72,1.0,1.19,48.0,0.496,oxide
2020-01-02 16:00:00,35.55,211.0,1.17,23.6,48.0,2.81,0.9,1.04,0.89,48.0,0.629,oxide
2020-01-02 18:00:00,52.0,215.0,1.33,20.3,48.0,1.18,0.74,1.02,1.02,48.0,0.57,carbonate
2020-01-02 20:00:00,52.0,218.0,0.93,15.7,48.0,2.4,0.694,1.23,1.0,48.0,0.511,oxide
2020-01-02 22:00:00,34.81,193.0,0.88,19.1,48.0,1.82,0.9,1.34,0.93,48.0,0.682,oxide
2020-01-03 00:00:00,33.92,218.0,1.08,24.0,48.0,2.73,0.9,1.44,1.07,48.0,0.701,oxide
2020-01-03 02:00:00,38.01,181.0,1.21,17.9,48.0,3.06,0.857,1.48,1.11,48.0,0.675,oxide
2020-01-03 04:00:00,52.0,214.0,0.97,21.0,48.0,2.3,0.698,0.86,1.01,48.0,0.46,oxide
2020-01-03 06:00:00,28.17,206.0,0.82,23.0,48.0,2.07,0.9,0.82,1.09,48.0,0.586,oxide
2020-01-03 08:00:00,31.09,217.0,1.16,20.1,48.0,1.78,0.9,0.97,1.04,48.0,0.615,oxide
2020-01-03 10:00:00,28.82,193.0,1.01,18.3,48.0,2.58,0.9,0.82,1.09,48.0,0.652,carbonate
2020-01-03 12:00:00,29.33,200.0,0.97,19.2,48.0,1.7,0.9,1.23,0.95,48.0,0.737,carbonate
2020-01-03 14:00:00,34.52,211.0,1.36,22.4,48.0,2.24,0.9,1.14,1.09,48.0,0.647,oxide
2020-01-03 16:00:00,37.28,210.0,1.45,16.5,48.0,3.22,0.858,0.91,1.03,48.0,0.575,oxide
2020-01-03 18:00:00,52.0,212.0,1.19,17.5,48.0,2.43,0.693,1.27,0.8,48.0,0.516,oxide
2020-01-03 20:00:00,28.56,192.0,0.89,17.0,48.0,2.46,0.9,1.48,1.02,48.0,0.709,oxide
2020-01-03 22:00:00,32.84,186.0,0.83,21.4,48.0,1.13,0.9,0.85,1.01,48.0,0.659,silicate
2020-01-04 00:00:00,36.66,193.0,1.19,19.6,48.0,1.95,0.9,0.88,0.97,48.0,0.599,oxide
2020-01-04 02:00:00,47.18,211.0,0.93,23.7,48.0,3.23,0.717,1.46,0.87,48.0,0.562,oxide
2020-01-04 04:00:00,47.86,200.0,0.92,20.4,48.0,1.05,0.806,1.31,0.96,48.0,0.607,oxide
2020-01-04 06:00:00,52.0,207.0,1.15,23.9,48.0,3.73,0.644,0.84,1.04,48.0,0.469,silicate
2020-01-04 08:00:00,49.47,219.0,1.27,24.1,48.0,2.1,0.737,1.23,1.05,48.0,0.603,carbonate
2020-01-04 10:00:00,23.6,194.0,1.03,22.5,48.0,0.84,0.9,0.89,1.14,48.0,0.667,carbonate
2020-01-04 12:00:00,31.03,203.0,1.18,22.8,48.0,1.71,0.9,1.39,0.84,48.0,0.692,oxide
